test_name,b_bp,r_bp,bank_id,writes_completed,reads_completed,total_completes,utilization_proxy_pct,sim_time_cyc
mem_full_test,0,0,0,220,214,434,5.90,19708
mem_full_test,0,0,1,222,201,423,5.76,19708
mem_full_test,0,0,2,229,195,424,5.77,19708
mem_full_test,0,0,3,237,219,456,6.20,19708
mem_full_test,0,0,4,233,197,430,5.85,19708
mem_full_test,0,0,5,228,216,444,6.04,19708
mem_full_test,0,0,6,241,207,448,6.10,19708
mem_full_test,0,0,7,235,221,456,6.20,19708
mem_full_test,0,0,8,221,210,431,5.86,19708
mem_full_test,0,0,9,224,216,440,5.99,19708
mem_full_test,0,0,10,250,211,461,6.27,19708
mem_full_test,0,0,11,251,205,456,6.20,19708
mem_full_test,0,0,12,215,200,415,5.65,19708
mem_full_test,0,0,13,215,218,433,5.89,19708
mem_full_test,0,0,14,238,210,448,6.10,19708
mem_full_test,0,0,15,241,210,451,6.14,19708
mem_full_test,5,5,0,220,214,434,5.90,28902
mem_full_test,5,5,1,222,201,423,5.76,28902
mem_full_test,5,5,2,229,195,424,5.77,28902
mem_full_test,5,5,3,237,219,456,6.20,28902
mem_full_test,5,5,4,233,197,430,5.85,28902
mem_full_test,5,5,5,228,216,444,6.04,28902
mem_full_test,5,5,6,241,207,448,6.10,28902
mem_full_test,5,5,7,235,221,456,6.20,28902
mem_full_test,5,5,8,221,210,431,5.86,28902
mem_full_test,5,5,9,224,216,440,5.99,28902
mem_full_test,5,5,10,250,211,461,6.27,28902
mem_full_test,5,5,11,251,205,456,6.20,28902
mem_full_test,5,5,12,215,200,415,5.65,28902
mem_full_test,5,5,13,215,218,433,5.89,28902
mem_full_test,5,5,14,238,210,448,6.10,28902
mem_full_test,5,5,15,241,210,451,6.14,28902
mem_full_test,15,15,0,220,214,434,5.90,66672
mem_full_test,15,15,1,222,201,423,5.76,66672
mem_full_test,15,15,2,229,195,424,5.77,66672
mem_full_test,15,15,3,237,219,456,6.20,66672
mem_full_test,15,15,4,233,197,430,5.85,66672
mem_full_test,15,15,5,228,216,444,6.04,66672
mem_full_test,15,15,6,241,207,448,6.10,66672
mem_full_test,15,15,7,235,221,456,6.20,66672
mem_full_test,15,15,8,221,210,431,5.86,66672
mem_full_test,15,15,9,224,216,440,5.99,66672
mem_full_test,15,15,10,250,211,461,6.27,66672
mem_full_test,15,15,11,251,205,456,6.20,66672
mem_full_test,15,15,12,215,200,415,5.65,66672
mem_full_test,15,15,13,215,218,433,5.89,66672
mem_full_test,15,15,14,238,210,448,6.10,66672
mem_full_test,15,15,15,241,210,451,6.14,66672
mem_full_test,30,30,0,220,214,434,5.90,123326
mem_full_test,30,30,1,222,201,423,5.76,123326
mem_full_test,30,30,2,229,195,424,5.77,123326
mem_full_test,30,30,3,237,219,456,6.20,123326
mem_full_test,30,30,4,233,197,430,5.85,123326
mem_full_test,30,30,5,228,216,444,6.04,123326
mem_full_test,30,30,6,241,207,448,6.10,123326
mem_full_test,30,30,7,235,221,456,6.20,123326
mem_full_test,30,30,8,221,210,431,5.86,123326
mem_full_test,30,30,9,224,216,440,5.99,123326
mem_full_test,30,30,10,250,211,461,6.27,123326
mem_full_test,30,30,11,251,205,456,6.20,123326
mem_full_test,30,30,12,215,200,415,5.65,123326
mem_full_test,30,30,13,215,218,433,5.89,123326
mem_full_test,30,30,14,238,210,448,6.10,123326
mem_full_test,30,30,15,241,210,451,6.14,123326
