test_name,b_bp,r_bp,txn_id,op_type,bank,latency_cyc
mem_full_test,10,10,2,WR,3,14.00
mem_full_test,10,10,4,RD,4,16.00
mem_full_test,10,10,7,WR,5,19.00
mem_full_test,10,10,6,RD,0,25.00
mem_full_test,10,10,12,WR,4,25.00
mem_full_test,10,10,10,RD,7,32.00
mem_full_test,10,10,14,WR,7,34.00
mem_full_test,10,10,16,RD,5,38.00
mem_full_test,10,10,18,WR,4,41.00
mem_full_test,10,10,20,RD,0,44.00
mem_full_test,10,10,22,WR,3,48.00
mem_full_test,10,10,24,RD,7,50.00
mem_full_test,10,10,26,WR,6,53.00
mem_full_test,10,10,28,RD,4,57.00
mem_full_test,10,10,30,WR,0,62.00
mem_full_test,10,10,32,RD,1,62.00
mem_full_test,10,10,34,WR,5,67.00
mem_full_test,10,10,36,RD,2,71.00
mem_full_test,10,10,37,WR,5,77.00
mem_full_test,10,10,40,RD,2,80.00
mem_full_test,10,10,41,WR,0,86.00
mem_full_test,10,10,44,RD,1,89.00
mem_full_test,10,10,46,WR,5,93.00
mem_full_test,10,10,50,RD,5,94.00
mem_full_test,10,10,48,WR,2,101.00
mem_full_test,10,10,54,RD,2,100.00
mem_full_test,10,10,52,WR,6,110.00
mem_full_test,10,10,58,RD,1,109.00
mem_full_test,10,10,56,WR,0,116.00
mem_full_test,10,10,62,RD,5,116.00
mem_full_test,10,10,60,WR,2,125.00
mem_full_test,10,10,64,RD,0,124.00
mem_full_test,10,10,65,WR,4,130.00
mem_full_test,10,10,70,RD,2,130.00
mem_full_test,10,10,68,WR,4,137.00
mem_full_test,10,10,74,RD,0,135.00
mem_full_test,10,10,72,WR,4,143.00
mem_full_test,10,10,78,RD,6,142.00
mem_full_test,10,10,76,WR,4,149.00
mem_full_test,10,10,82,RD,4,148.00
mem_full_test,10,10,80,WR,7,156.00
mem_full_test,10,10,86,RD,1,156.00
mem_full_test,10,10,84,WR,4,163.00
mem_full_test,10,10,88,RD,5,163.00
mem_full_test,10,10,89,WR,0,169.00
mem_full_test,10,10,94,RD,2,169.00
mem_full_test,10,10,92,WR,0,177.00
mem_full_test,10,10,98,RD,7,174.00
mem_full_test,10,10,96,WR,7,183.00
mem_full_test,10,10,100,RD,7,182.00
mem_full_test,10,10,101,WR,7,188.00
mem_full_test,10,10,104,RD,6,191.00
mem_full_test,10,10,108,WR,2,190.00
mem_full_test,10,10,106,RD,0,197.00
mem_full_test,10,10,118,WR,0,190.00
mem_full_test,10,10,110,RD,1,207.00
mem_full_test,10,10,124,WR,0,190.00
mem_full_test,10,10,112,RD,3,216.00
mem_full_test,10,10,132,WR,5,190.00
mem_full_test,10,10,114,RD,3,226.00
mem_full_test,10,10,138,WR,2,190.00
mem_full_test,10,10,116,RD,4,235.00
mem_full_test,10,10,142,WR,5,190.00
mem_full_test,10,10,120,RD,1,240.00
mem_full_test,10,10,146,WR,6,190.00
mem_full_test,10,10,122,RD,5,246.00
mem_full_test,10,10,150,WR,7,190.00
mem_full_test,10,10,126,RD,4,254.00
mem_full_test,10,10,154,WR,3,190.00
mem_full_test,10,10,128,RD,6,263.00
mem_full_test,10,10,158,WR,6,190.00
mem_full_test,10,10,130,RD,3,273.00
