test_name,b_bp,r_bp,bank_id,writes_completed,reads_completed,total_completes,utilization_proxy_pct,sim_time_cyc
mem_full_test,0,0,0,57,65,122,6.10,6572
mem_full_test,0,0,1,62,49,111,5.55,6572
mem_full_test,0,0,2,69,54,123,6.15,6572
mem_full_test,0,0,3,63,70,133,6.65,6572
mem_full_test,0,0,4,63,58,121,6.05,6572
mem_full_test,0,0,5,57,68,125,6.25,6572
mem_full_test,0,0,6,67,60,127,6.35,6572
mem_full_test,0,0,7,68,67,135,6.75,6572
mem_full_test,0,0,8,62,61,123,6.15,6572
mem_full_test,0,0,9,55,68,123,6.15,6572
mem_full_test,0,0,10,68,65,133,6.65,6572
mem_full_test,0,0,11,70,62,132,6.60,6572
mem_full_test,0,0,12,51,54,105,5.25,6572
mem_full_test,0,0,13,60,70,130,6.50,6572
mem_full_test,0,0,14,62,65,127,6.35,6572
mem_full_test,0,0,15,66,64,130,6.50,6572
mem_full_test,0,0,0,256,238,494,5.99,29656
mem_full_test,0,0,1,249,217,466,5.65,29656
mem_full_test,0,0,2,261,212,473,5.73,29656
mem_full_test,0,0,3,270,237,507,6.15,29656
mem_full_test,0,0,4,267,228,495,6.00,29656
mem_full_test,0,0,5,270,227,497,6.02,29656
mem_full_test,0,0,6,283,224,507,6.15,29656
mem_full_test,0,0,7,274,239,513,6.22,29656
mem_full_test,0,0,8,260,225,485,5.88,29656
mem_full_test,0,0,9,275,236,511,6.19,29656
mem_full_test,0,0,10,293,231,524,6.35,29656
mem_full_test,0,0,11,288,217,505,6.12,29656
mem_full_test,0,0,12,247,220,467,5.66,29656
mem_full_test,0,0,13,249,239,488,5.92,29656
mem_full_test,0,0,14,275,233,508,6.16,29656
mem_full_test,0,0,15,283,227,510,6.18,29656
mem_full_test,0,0,0,57,65,122,6.10,6572
mem_full_test,0,0,1,62,49,111,5.55,6572
mem_full_test,0,0,2,69,54,123,6.15,6572
mem_full_test,0,0,3,63,70,133,6.65,6572
mem_full_test,0,0,4,63,58,121,6.05,6572
mem_full_test,0,0,5,57,68,125,6.25,6572
mem_full_test,0,0,6,67,60,127,6.35,6572
mem_full_test,0,0,7,68,67,135,6.75,6572
mem_full_test,0,0,8,62,61,123,6.15,6572
mem_full_test,0,0,9,55,68,123,6.15,6572
mem_full_test,0,0,10,68,65,133,6.65,6572
mem_full_test,0,0,11,70,62,132,6.60,6572
mem_full_test,0,0,12,51,54,105,5.25,6572
mem_full_test,0,0,13,60,70,130,6.50,6572
mem_full_test,0,0,14,62,65,127,6.35,6572
mem_full_test,0,0,15,66,64,130,6.50,6572
