test_name,b_bp,r_bp,writes,reads,b_resp,r_resp,data_mismatches,hazards_tolerated,order_violations,slverr,invalid_wr,invalid_rd,avg_lat_wr_cyc,min_lat_wr_cyc,max_lat_wr_cyc,avg_lat_rd_cyc,min_lat_rd_cyc,max_lat_rd_cyc,throughput_wr,throughput_rd,sim_time_cyc
mem_full_test,0,0,1000,1000,1000,1000,0,0,0,0,0,0,4.08,4.00,6.00,6.17,6.00,14.00,0.152,0.152,6572
mem_full_test,0,0,4500,3750,4400,3650,0,1,0,0,100,100,325.49,4.00,1970.00,77.22,6.00,488.00,0.148,0.123,29656
mem_full_test,0,0,1000,1000,1000,1000,0,0,0,0,0,0,4.08,4.00,6.00,6.17,6.00,14.00,0.152,0.152,6572
mem_full_test,0,0,3900,3450,3800,3350,0,1,0,0,100,100,90.01,4.00,498.00,42.73,6.00,482.00,0.193,0.170,19708
mem_full_test,0,0,3900,3450,3800,3350,0,1,0,0,100,100,90.01,4.00,498.00,42.73,6.00,482.00,0.193,0.170,19708
mem_full_test,0,0,3900,3450,3800,3350,0,1,0,0,100,100,90.01,4.00,498.00,42.73,6.00,482.00,0.193,0.170,19708
mem_full_test,0,0,3900,3450,3800,3350,0,0,0,0,100,100,90.13,4.00,500.00,64.13,9.00,485.00,0.188,0.166,20164
mem_full_test,0,0,3900,3450,3800,3350,0,0,0,0,100,100,90.13,4.00,500.00,64.13,9.00,485.00,0.188,0.166,20164
mem_full_test,5,5,3900,3450,3800,3350,2,1,0,0,100,100,231.39,9.00,810.00,200.70,14.00,921.00,0.131,0.116,28902
mem_full_test,0,0,3900,3450,3800,3350,0,0,0,0,100,100,90.13,4.00,500.00,64.13,9.00,485.00,0.188,0.166,20164
